questions,category
"My husband has chronic itching w/ no rashes/hives.He has seen an allergist, dermatologist, acupuncturist, and therapist. Bloodwrk negative any ideas?",Specific Health Conditions and Diseases
My six year old daughter has been on antibiotics over 48hours and started running a fever over 101 and she says her head hurts. Should I take her back in? Given antibiotics for sinus infection but has been getting stuff up when coughing. She has a hist,Treatment Details
"Q. Hi, I am almost 12 weeks pregnant and my food had tiny particles of plastic (by mistake) so I am worried; in case I accidentally swallowed some : (?",Specific Health Conditions and Diseases
Screaky voice. How can I get a more masculine voice?,Treatment Details
Since I was a child my joints have always clicked but over the years it has got very painful special when it rains or I am cold? How do I fix?,Specific Health Conditions and Diseases
Was treated for PID caused by BV only with one dose of azythromyacin and injection of antibiotics. PID never went away. What should i do?,Treatment Details
What are the causes of perianal abscess?,Specific Health Conditions and Diseases
What does a doctor do in externsl cronic anal fissure and pls tell me the process of sugery of cronic anal fissure outside my anal there is one small?,Treatment Details
What do you recommend to treat a severed posterior longitudinal ligament?,Treatment Details
"What is mecoblamin? What is this medicine usus for?  My mother is diabetic patient, does this medicine useful? Thank you in advance",Medication Information
What is the cleanest/safest SSRI for general stress-induced anxiety?,Medication Information
What is the definition or description of: activity modification?,Treatment Details
Whats a type 1 shellfish allergy?,Specific Health Conditions and Diseases
What should I do if I have an allergy of sneezing when i wake upplease tell me what type of disease or allergy it is?,Specific Health Conditions and Diseases
What specific exercises would help bursitis of the suprapatellar?,Treatment Details
"What to do if I have hypertension, depression of lost love, completely broke. what to do?",Lifestyle and Health
Which hormones are responsible for giving you a male features on your face?,Specific Health Conditions and Diseases
Which treatment works the best and fastest for aortic regurgitation?,Treatment Details
Why does my arm always fall asleep? Like to the point where i can't move it at all,Specific Health Conditions and Diseases
Why do I have white pigmentation skin colour around my anus and extreme itching and blisters around the anus and anal cleft?,Specific Health Conditions and Diseases
Will taking birth control pills for treatment of dysmenorrhea affect my fertility later once married?,Treatment Details
"35 years old female no heart problems, sharp pain in chest/heart. Only last a min. Hits anytime driving sitting takes my breath away, happening more?",Specific Health Conditions and Diseases
A doctor prescribed voren supp 12.5mg for my 3-year-old boy for fever. Isnt voren used for post-op inflammatn?,Medication Information
After I had intercourse with hubby I noticed slight fresh blood and burning sensation and urge to urinate. What might be the cause?,Specific Health Conditions and Diseases
"After two weeks of oral surgery, my cheek is still swollen and I feel hard lumps on the lower part. It also itches outside. Help?",Treatment Details
"Always use birth control, always use condoms with spermicide, always pull out with condom, but my period is late. Stress from college or pregnancy?",General Health Information
Any reliable blood test for ovarian cancer?,Diagnosis Explanation
Been having chest pains a lot lately especially when i sit in certain positions ?,Specific Health Conditions and Diseases
Been having this tenderness and pain in my breast for almost weeks....Not pregnant too. What coukd it be?,Specific Health Conditions and Diseases
Borderline changes to Brain MRI in 1 yr being referred to a neuroradiologist does this mean something sinister?,Diagnosis Explanation
Both arms numb no chest pain just a lil dizzy. And a little heart burn I have gastritis and back arthritis.,Specific Health Conditions and Diseases
"Brain epidermoid, is it the same as a  meningioma tumor the difference between the two       3cm brain stem / 8cm front lobe?",Specific Health Conditions and Diseases
Bright red blood on TP after first wipe after BM; then other wipes no more blood. I drink way to much pop and very little water...if that matters. ?,Specific Health Conditions and Diseases
C4-5 right uncovertebral osteophyte/disc bulge complex  broad disc bulge right neural foraminal stenosis & abutment of ventral cervical cord. Meaning?,Diagnosis Explanation
Can a menstrual blood clot travel to your heart or lungs like other blood clots can?,Specific Health Conditions and Diseases
Can Celiac Disease mimic MS even after being treated with a strict gluten-free diet? Could my untreated Celiac have caused my brain lesions?,Specific Health Conditions and Diseases
Can fibroadenomas turn into breast cancer?,Specific Health Conditions and Diseases
Can kidney polysystic be cured?,Specific Health Conditions and Diseases
Can one get rid of type 2 diabetes with excercise and a good diet?,Preventive Medicine
Can you please tell me why it'simportant to promote healthy eating for children and young people?,Lifestyle and Health
Can you tell me how is an echocardiography performed?,Treatment Details
Can you tell me the names of health care institutions or pharmacies known for compounding voriconazole 1% eye drops solution ?,Specific Health Conditions and Diseases
Could my sinus allergies make it hard to breathe?,Specific Health Conditions and Diseases
"Could the symptoms of caffeine overdose will remain more than 2 month, even if we already stop the intake of caffeine?",Specific Health Conditions and Diseases
Could walking on a soft mattress contribute to bowlegged-ness?,Specific Health Conditions and Diseases
"Dear Dr, feeling in my eyes lights are too bright feel dizzy with very sore sides of neck front and tight jaw knot in back of neck sleep apnea 6 weeks?",Specific Health Conditions and Diseases
Does anyone know what to do with a child around the age of 13 who suffers from serious anxiety?,Treatment Details
Does anything during pregnancy cause esophageal atresia?,Specific Health Conditions and Diseases
Does breastfeeding only on one side alter a woman's risk of breast cancer in the non-suckled breast? My son had a preference so I nursed on the left.,Preventive Medicine
Does cut on lip turn into white bump?,Specific Health Conditions and Diseases
"Does flax seed oil, about 3 grams a day as prescribed by my opthamologist interact with ortho trip cyclen or other birth control pills?",Medication Information
Does 'open' reduction with intramedullary nailing of tibial shaft fracture causes muscle weakness and slow bone healing due to soft tissue damage?,Treatment Details
Does stress causes hematospermia?,Specific Health Conditions and Diseases
Does the herb kalawalla (polypodium leucotamos) actually work for autoimmune disorders?,Medication Information
Does vitamin D come in shot form?,Medication Information
"Ejection fraction of gb very low. Diet stripped down to lean meats, fruits, vegs. Reflux in throat that is constant yet varies in intensity. Related?",Specific Health Conditions and Diseases
Female.Mom is 150cm and dad is 156cm.I was wondering if i can be at least 160-165cm tall?,Lifestyle and Health
"Got high level of hb & doctor advised me to repeat the fbc test in april2014 again.Now i got 17.6% hemoglobin level wht food u recommend, names plz?",Lifestyle and Health
"Got period after 4mo and it lasted 11 days,which never happens.I've been experiencing dull uncomfortable on/off pain by my uterus.What could it be?",Specific Health Conditions and Diseases
Have an itchy rash after 4 days of biaxin (clarithromycin). Have taken this before and was fine. Should i continue it?,Medication Information
Have had hard cysts on my scalp for quite very long now. They grew from 1 to about 8 to 9 now. Out of which 3 have grown a little large. They are painless but is uncomfortable while brushing my hair. Although that is not my main concern. Have been treated,Specific Health Conditions and Diseases
Havent had my period sn a year I was using herion and I had gotten myself help now I wondering when will I start my period?,Specific Health Conditions and Diseases
Have pain up and down left leg and left foot. I've been keeping it elevated all day. I hope its not a blood clot. I also took three Bayer aspirins.?,Specific Health Conditions and Diseases
"Having a blood test for neurological reasons, can it detect pregnancy?",Diagnosis Explanation
Hello I am using neutrogena from 15 days ..Acne is not leaving what should I do?,Treatment Details
Hello I have back spasms that flare up every now and then. I've done heat and ice rotate. Tried naproxen looked at my diet and take vitamins?,Lifestyle and Health
Hey so I just had strep throat and should I wash all my sheets like are they contagious to my family if they use the same blanket I used when I was sick.,Preventive Medicine
Hi dr I am 33 of age  mamarried have 3 kids my height is 173 CM my weight is 100 pounds. My normal wweight according to age must be 75 how to get it .,Lifestyle and Health
How accurate are the diabetic blood tests that test your 3 month blood sugars?,Diagnosis Explanation
How can a person know if they have chronic fatigue syndrome?,Diagnosis Explanation
How can a pregnant woman on bedrest avoid atrophy and blood clots?,Preventive Medicine
How can I get myself to have normal daily bowel movements when i'm constipated and haven't had a normal bm in almost a month?,Treatment Details
How can I get rid of ths pain in my leg?,Treatment Details
How can  you heal chronic knee bursitis?,Treatment Details
How common is it for somebody to get cubital tunnel syndrome?,Specific Health Conditions and Diseases
How does a doughnut get broken down in the digestive system if it has essentially no nutrients?,Treatment Details
How do u know the days u ovulate if your period changes every month and how do I increase my chances of becomming pregnant?,Preventive Medicine
How effective are punctal plugs for treating dry eyes after lasik? I am close to 1 year post op and artficial tears aren't helping.,Treatment Details
How long would a person with cancer live?,Diagnosis Explanation
How many molds of my teeth would the ortodontist get before I receive braces?,Treatment Details
HSV 1+2 Serum test resut- 1.77 & HSV Type 1+2 PCR DNA result NegativeH. Can't understand the difference between two results.,Diagnosis Explanation
Hymenal ring remnant... what is it and how can you fix it?,Treatment Details
"Hysterosalpingography, can you tell me about this?",Treatment Details
I am 24 years and breastfeeding my 9 months daughter Can I make mammogramas as last result 2 years ago was fibro cysts in left breast Should I worry?,Specific Health Conditions and Diseases
I am 35 weeks and 6 days pregnant and have been leaking a lot of clear fluid from my breast and also getting bad tightening pains in my belly?,Specific Health Conditions and Diseases
I am 44 and my breast and nipples are tender what could it be?,Specific Health Conditions and Diseases
I am noticing little red bumps on the skin near my labia?,Specific Health Conditions and Diseases
"I am on penicillin for about a month now, a week ago I started seeing my period but by the afternoon it stopped. Can penicillin delay periods?",Medication Information
I fast 16 hours eat 8. But for 8 hours I eat three meals. So should I keep my meals together so I don't start fasting or can they be spread out  ?,Lifestyle and Health
"If global temperatures increase, will malaria spread to other areas?",Preventive Medicine
If I don't have the egg white cervical musus am I still ovualating?,General Health Information
If I use 4 tylenol (acetaminophen) 3 and 0.50mg Xanax would it be just as dangerous to use lsd and mdma a few hours later as it would be only mixing lsd and mdma? Ty,Medication Information
If the mass I have between my ribs is cancerous would it make anything on a CBC abnormal and at about what stage?,Diagnosis Explanation
If you felt a mass in the breast for over 4 yrs now should I be worried?,Specific Health Conditions and Diseases
If your baby has already dropped does it automaticly mean your close to having the baby?,Specific Health Conditions and Diseases
I got electrocuted i was replacing a wire on my car and i accidentally touched it wth a screwdriver and got shocked i felt it go up my armswillibe ok?,Specific Health Conditions and Diseases
I had 2 chest x rays done 2 different times with portable mechine I seen the image but did not see the ribs just lungs is that possible.,Treatment Details
I had implanon removed and now have Evelyn for the combined pill. Had a few months normal but now bleed when wipe & shouldn't be. Why? See a doc?,Treatment Details
I had medial epicondylar release/ ulnar nerve decompression 5/9/14. When I woke up from it I had a sore throat still have a sore throat? I'mconcerned?,Treatment Details
"I had my meniscus repaired last week I'm not supposed to bear weight on this leg. I lost my balance and caught my self using this leg briefly,am I ok?",Treatment Details
"I had unprotected sex 2 weeks ago, I started getting a brown discharge, but I havent started yet. What can it mean? I have irregular periods btw.",Specific Health Conditions and Diseases
I have a black scar in my eye that I can see when I look at something that is a light color. Its been there for 2 months. Will it go away on its own?,Specific Health Conditions and Diseases
"I have a bruise circling a insect bite,is this common?",Specific Health Conditions and Diseases
I have a bug bite and it keeps getting worse. What do you recommend?,Specific Health Conditions and Diseases
"I have a burning sensation on the top part of my breast after 2 days of having breast augmentation, is this normal?",Treatment Details
"I have a full thickness tear/rupture of the flexor hallucis tendon after bunion surgery 3 mos ago.  It is retracted 2.5 cm. and I cannot bend big toe downward.  What are long term possible problems without ability of my big toe to push downward, to provid",Specific Health Conditions and Diseases
I have a lump on the back of my head. Its above the hairline in the middle. Its hard and unmovable. It does not pain. Should I be cocerned?,Specific Health Conditions and Diseases
"I have a painful sore inside my nose, it is red and rough. My nose is very dry too. What is it and how do I treat it? It won't go away and it hurts.",Specific Health Conditions and Diseases
I have a possible scaphoid wrist fracture. How can I tell without going to the hospital?,Specific Health Conditions and Diseases
I have arthritis in my knees and lower back. Normally when I get out of bed they are stiff. My hips achey and stiff are if I lay on my back at night?,Specific Health Conditions and Diseases
I have a warm & irritated uretha and clitoris lately I have to urine a lot. I think I have a UTI or a yeast infection. Can you cure your own UTI?,Specific Health Conditions and Diseases
I have been eating 1200-1300 cal. (most days) and exercising 5x/wk.  I eat more on weekends but maintain my weight. But this week I gained 2.5 lbs!  I have been stressed and constipated.  Is that why?,Lifestyle and Health
"I have been experiencing abdominal pain, diarrhea after meals, fatigue and occasionally bloody stool. Could it be Crohn's disease?",Specific Health Conditions and Diseases
I have been taking my birthcontrol Amethia for 3 months but wednesday I took it two hours larer then I would usually. Can I still ingage in sex?,Medication Information
I have l5-s1 slight bulging disc. One doc told me that I should quit squash for good and another doc said I can play again within 3 months. I'm 28?,Diagnosis Explanation
I have membranous nephropathy and I see a nephrologist. Can the disease ever go away or am I most certain to eventually be on dialysis someday. Thanks?,Diagnosis Explanation
"I have  microalbumin urine 343.2 ug/ml ,microalb/creat Ratio ,random urine 402.3 mg/g creat, no DM,no HT,is this serious ? What 's to do next?",Diagnosis Explanation
"I have pain in lower right jawline, and also feel swelling under it. I must also tell you m on provisional diagnosis of Bechet disease?",Specific Health Conditions and Diseases
"I have these painful sores on my stomach, and they hurt so bad. I think they may be boils or ingrown hairs. How do I treat these?",Specific Health Conditions and Diseases
I have TMJ em from india i want to ask is it is curable?,Diagnosis Explanation
"I know there are alternatives for penicillin, but why dos we not use the others? Are there problems with them, or? (it's for a school projekt)",Medication Information
"I'm 33 smoker stomach inflammation gastritis I had an abortion 11 yrs ago, I can't get pregnant after 10 yrs why??confused",Specific Health Conditions and Diseases
I'm due for my birth control shot on the 24 but I've been having uterus pain on the right side of my uterus I'm not sure what it can be?,Specific Health Conditions and Diseases
"I messed up my birth control and started a new pack. When I took the first week, I bleed for 3 days. Now I am confused when my period will come again.",Treatment Details
I'm really scared of needles. I'm getting my blood drawn in a few months for the first time. Could they do something so it won't hurt?,Treatment Details
I'm wondering what is the best birth control?,Treatment Details
"In my blood tests, I have high levels of trigliceridos(234 mg/dl), got (ast )(37.4ui/l), gpt (alt)(59.3ui/l), gamma-gt (52.3ui/l). Are these levels bad?",Specific Health Conditions and Diseases
Is it normal. For your your gums to swell when your on your period?,Lifestyle and Health
Is it normal to have a low sex drive after having three c sections?,Lifestyle and Health
Is it possible for a person to survive metastatic liver cancer?,Specific Health Conditions and Diseases
Is it possible to have herpes and only have outbreaks in the anal canal and underneath the tongue but not on the mouth or vagina?,Specific Health Conditions and Diseases
Is it safe to get hysterectomy done before angioplasty?,Treatment Details
Is it safe to take a probiotic while breastfeeding?,Medication Information
I started belching and it smelled and taste like rotten eggs with symptoms of diarrhea watery vomiting what look like red blood and coffee grounds,Specific Health Conditions and Diseases
"I stepped on a rock that injured the outside of my foot.  17 days later, swelling and bruising down. Discomfort still. Will walking hurt the healing?",Treatment Details
Is the candida retested after treatment?,Treatment Details
Is there a difference between inositol pills and powder?,Medication Information
Is there a specific time for teens to sleep?,Lifestyle and Health
Is too high a dose of birth control dangerous?,Medication Information
I stopped using accutane/isotroin in november. Is it safe to have a baby now?,Treatment Details
Is uristat (phenazopyridine) a good treatment for a potential uti?,Medication Information
It is true that we should not drink pills or vit. w/ a cool water?,Medication Information
I used an over the counter corn pad on my toe which had a sensitive callus and now it has gotten much worse and swollen. How can I heal my skin?,Treatment Details
"I've got a bench with a barbell, dumbbells, pull up bar, and a treadmill, what are some workouts i could do to gain muscle?",Lifestyle and Health
I've had a cold for 1week. I just stopped antibiotics. Coughing up grey mucus sometimes. Dr isn't concerned. Should l take 2nd lot of antibiotics?,Medication Information
I've never had hormonal acne until I started tilia fe b.C 4months ago. It's supposed to treat acne. Should I give it time or switch b.Cs?,Medication Information
"I was diagnosed w/ Chlamydia on 9/29/2015. Treated the same day. Tested on 11/16/2015, came back positive. I haven't had sex since the 1st test. How?",Diagnosis Explanation
I was prescribed Tripsin+Chymotripsin for tooth treatment tds for 3days. Can I continue these combination for a long period?,Medication Information
I was taking amoxicillin for tooth problem. On the second day I started having full bladder with difficulty to urinate and clear discharge symptoms.?,Medication Information
I was zip lining and at the end of the zip line was a block of about 50 pounds. I was going at about 30 mph and slammed my heel in it. Now it's purple and swollen. What should I do?,Specific Health Conditions and Diseases
Just looked in right side of nose. very red and swollen. Hurts to sniff or touch outside of nose. Its big like a polyp. Have clear discharge. Whatisit?,Specific Health Conditions and Diseases
"Just saw marble size black lump in bm. Thought possibly just food so poked at it w/latex glove. Def not food, it's poo. Red blood lately too. Already did ibd workup (neg). Temp 99.5 for a month. Er?",Specific Health Conditions and Diseases
"L/4, l/5 laminect foot pain 1year later, foot doc say normal, neurologist say s/1 caus, ortho surgeon say MRI good, neurosur say nerv itself Whoright?",Diagnosis Explanation
"Lately when i get frightened or startled, i feel the blood pump down my legs and then my toes start to really hurt. It aches for a long time. What is?",Specific Health Conditions and Diseases
Legs are always cold even when I am sweating badly and feet and toes go numb. Why?,Specific Health Conditions and Diseases
My 6mo old niece has a pink round spot on each thigh in the same place. My sister is worried it's ring worm. It doesn't bother the baby any. Thoughts?,Specific Health Conditions and Diseases
My 7 yr postive again for strep and I'm leaning towards pandas. I was prescribed clindamycin 75 mg/5ml. Is this the right antibiotic? He did augm b4.,Medication Information
My bf fingrd me possibly sperm on his hands. His fingr was dry and all he did was wipe his penis wi/ a ppr twl. We don't think any got on his handspreg?,Specific Health Conditions and Diseases
"My complete blood picture results note is rbcs show hypochromia, microcytosis and anisocytosis should I see a doctor or not?",Diagnosis Explanation
My father has cvid and parkinson's. Are there any tests that could show the likelihood of my potential children developing these same problems?,Specific Health Conditions and Diseases
My friend thinks she's fat but she's really not and she sticks toolow calories and if she eats something bad she burns the calories of by excercising?,Lifestyle and Health
"My girlfriend has aids and we had unprotected sex because she said that the birth control protected me, true?",Specific Health Conditions and Diseases
My girlfriend woke up with a bruise on the end of her chin this morning. She never had it when she went to bed and never bumped it. What can it be?,Specific Health Conditions and Diseases
My mums warfarin INR level has been fluctuating at an alarming level lately for no apparent reason?,Medication Information
"My pain medication is making me sleepy and groggy, but I have to work. What else can I take?",Medication Information
My period was black and sticky but is not smelling although have been having irregular menses for two years now?,Specific Health Conditions and Diseases
My recent blood test INR 1.12 APTT ratio 1.16 Beta-2 Microglobulin 1.50mg/L are they ok?,Diagnosis Explanation
My son has a hemorrhoid and he is getting thin stool and slight diarrhea is that from the hemorrhoid?,Specific Health Conditions and Diseases
My son's adult front tooth is very pointy.  Why is that?,Specific Health Conditions and Diseases
My toenails are a yellow tone and has turned into a bump on my nail I was wondering what I could do. I think it may be a fungal nail possibly. ?,Specific Health Conditions and Diseases
"Painful scar tissue left under atypical mole removal spot on calf. Sharp, deep pain. Dermatologist recommended plastic surgeon. What will happen?",Treatment Details
Panic attack after smoking weed. Is this normal?,Specific Health Conditions and Diseases
"Please explain what it means to have a ""prominent nose""?",Specific Health Conditions and Diseases
Please help! What is the survival rate of malignant meningioma?,Diagnosis Explanation
Please provide advice on discontinuing hctz (hydrochlorothiazide) after developing petechiae on my arms. I have been taking hctz (hydrochlorothiazide) for 3 months and this just started.,Medication Information
Question on a discharge--slimey and midcycle?,Specific Health Conditions and Diseases
Quick question about ketone test strips. If they are kind of pinkish before I use them are they bad?,Medication Information
"Recently had bacterial vaginosis and a yeast infection. Still think I have bv- treated with metronidazole + fluconazole, discharge white. Thoughts?",Treatment Details
Rectal bleeding after fissure op. Surgon found 1 big hemorrhoid and some small. Banding done for big one. Foul smell & bleeding persistant. What is it?,Treatment Details
School paper: how does a disciplinary and or criminal record affect the ability to get into professional school/medical school?,General Health Information
Skin sticking out under my tongue. Is this normal?,Specific Health Conditions and Diseases
So can two women have a child of their own?,General Health Information
"So, I have this itchy dark brown mole on my hip, it's sort of red around the edges, I have no idea what's causing it. Any ideas?",Specific Health Conditions and Diseases
Stubbed left pinkie toe a few hours ago. Quite painful. Now its swollen and there's a lump on the right side of the toe and it hurts. Fractured?,Specific Health Conditions and Diseases
Suggest me ways for late discharge during intercourse male age 42 yrs?,Treatment Details
"Supposing that cancer has spread from an origin, is that secondary cancer treated differently?",Treatment Details
The cause of my first pregnancy miscarriage seemed to b a bleed sac above my baby at 6 1/2 weeks. Is there anything I can do to prevent this next time.,Preventive Medicine
"Ways to get bilirubin down like blue lights,  etc?",Treatment Details
"Weeping blisters ontop of foot,red toes...looks terrible.what to do??",Specific Health Conditions and Diseases
What amount of niacin flush should I take to clean my system free of thc?,Medication Information
What are my chances of getting pregnant if my boyfriend pulled out. But then inserted his fingers and penis back in my vagina  with sperm ...,Specific Health Conditions and Diseases
What are some non-medical things I can do help my asthma?,Lifestyle and Health
What are the chances of survival following a stomach cancer diagnosis?,Diagnosis Explanation
What are the five most common emergency surgeries in american teen girls?,Specific Health Conditions and Diseases
What are those tiny white bumps on the tip of my tongue? Can I spread it to my infant?,Specific Health Conditions and Diseases
What blood sugar level is considered normal for people with type 2 diabetes?,Specific Health Conditions and Diseases
What can cause neck vessels to become engorged and distended episodically that improves greatly with daily replacement doses (20mg) of hydrocortisone?,Specific Health Conditions and Diseases
What can I do about low back pain and stiffness during and after bending over?,Specific Health Conditions and Diseases
What can I do to increase my chances of getting pregnant? I also did medical abortion 5 months ago. I use the ovulation kit and no results. Plz help,Preventive Medicine
What causes hungry one hour after meals with upper abdominal pain and burning sensation?,Specific Health Conditions and Diseases
What causes these blister things under your tongue?,Specific Health Conditions and Diseases
What could I do to make my breats bigger naturally?,Lifestyle and Health
What does a medical physicist do during cancer treatment?,Treatment Details
What does having an f2 bone cyst on my spine mean?,Diagnosis Explanation
What exactly is the fastest way to burn off belly fat?,Lifestyle and Health
What happens at fetal heart ultrasound?,Treatment Details
What happens to a person at the end that has pancreatic cancer?,Specific Health Conditions and Diseases
What increases blood coagulation?,General Health Information
What is best position of a fetus at seventh month?,Specific Health Conditions and Diseases
What is Cervical cancer a risk factor for?,Specific Health Conditions and Diseases
What is done about migraines caused by changes in temperature?,Treatment Details
What is liver failure and how is it treated?,Specific Health Conditions and Diseases
What is the definition or description of: diclofenac?,Medication Information
"What is the difference between catatonia and ""emotional unavailability""?",Specific Health Conditions and Diseases
What's a good way to address back pain?,Lifestyle and Health
"What should I do if I have counted 25 canker sores in my mouth, which are extremely painful, can you help me find out how to lessen the pain?",Specific Health Conditions and Diseases
What to do if I have a archwire that is not connected to one bracket of the damon braces?,Treatment Details
What to do if I have a very flat butt. it almost doesn't exist. what are some tips/exercises that could give me a nice butt?,Lifestyle and Health
What to do if I have blood in stool?,Specific Health Conditions and Diseases
What treatment would you recommend for demodex folliculorum infestation? It appeared at the base of the nose and spreading down. Thank you!,Treatment Details
What would a spider bite on the tongue look like?,Specific Health Conditions and Diseases
"What would cause white tip of the uvula? Sore throat in morning, but goes away. White tip remains throughout",Specific Health Conditions and Diseases
When after you concieve can your nipples start itching?,Specific Health Conditions and Diseases
When can I give my babies the chicken& meat  they are now 8 months?,Lifestyle and Health
"When should I use an ovulation test? Morning, afternoon or night?",Medication Information
"Why does/would wearing an abdominal binder raise my blood pressure? Both diastolic and systolic increased by 10 points, pushing me into hypertensive range 135/105.",Treatment Details
Why do I have chest wall pain and hard time breathing long after workouts ?,Specific Health Conditions and Diseases
Why don't you use a non rebreather on a pt that is hyperventilating due to anxiety?,Treatment Details
Why dose my chest hurt when stretching and coughing plus sneezing?,Specific Health Conditions and Diseases
"Why is my period blood dark brown, stopped after 4 hrs. Is this a period?",Specific Health Conditions and Diseases
Would 3 normal u/s and 5 low d-dimers over the course of 4 weeks rule out dvt? Even though leg pain is still there? No redness or swelling.,Diagnosis Explanation
Would there be symptoms if vertebrae in neck collapsed?,Specific Health Conditions and Diseases
"2yr old dry skin above lip and top lip irritated and or dry. Regular cetaphyl atopic stings. Is it ok to put vaseline?  it's red, irritated. Other?",Specific Health Conditions and Diseases
All of a sudden my ears stopped producing ear wax. What could be the cause?,Specific Health Conditions and Diseases
Anyone have any dietary suggestions for a 10 year old with gastritis?,Lifestyle and Health
A recent CT scan with contrast revealed two cysts on pancreas. What does this mean? Previous colon cancer and has esld. Also 6mm mass on liver.,Diagnosis Explanation
Are there any serious after-effects of a heroin overdose?,Treatment Details
"A while ago I developed a white clumpy discharge, itching, small bumps, and a strange scent. I'm six months pregnant, and I don't have an STD. Help?",Specific Health Conditions and Diseases
Can allergies to tooth paste ingredients cause diarrhea and stomach pains?,Specific Health Conditions and Diseases
Can a pedigree help you trace a condition that is autosomal dominant or autosomal recessive?,Diagnosis Explanation
Can a person be allergic to febreeze plug ins? The scent of something?,Specific Health Conditions and Diseases
Can a urine test show you have kidney stones?,Diagnosis Explanation
Can cognitive behavioral therapy help someone quit smoking?,Treatment Details
Can contact dermatitis cause scarring?,Specific Health Conditions and Diseases
Can i drink coffee to avoid a headache?,Lifestyle and Health
Can I have a glass of wine while taking methylprednisolone for poison ivy?,Medication Information
Can sleep apnea cause memory loss? And negative thinking? I got diagnosed with sleep apnea but I am not sure how long I've had it.,Specific Health Conditions and Diseases
"Can taking DEPO shot make you irritable? Is it normal to have brownish discharge while on it, but no period so far? It's been 22 days.",Medication Information
