question,category
"I've been experiencing a strange tingling sensation in my feet for a few weeks. I'm a 40-year-old woman, I don't smoke or drink, and I don't have any known health conditions. What could be causing this?",sympton_query
"I've recently noticed that I'm losing a lot of hair. I'm a 35-year-old woman, and I don't have any known health conditions. I eat a balanced diet and exercise regularly. Should I be concerned about this?",sympton_query
"I've been experiencing bouts of severe heartburn for the past month. I'm a 45-year-old man, and I don't smoke or drink. I've never had any digestive issues before. What could be causing this?",sympton_query
"I've been feeling really down and uninterested in things I used to enjoy for a few months now. I'm a 25-year-old woman, and I don't have any known mental health issues. Could this be depression?",sympton_query
"I'm a 55-year-old man, and I've been experiencing pain in my knees whenever I climb stairs. I'm otherwise healthy, don't smoke or drink. Could this be arthritis?",sympton_query
"I've noticed that I've been getting a lot of headaches recently. I'm a 30-year-old man, and I don't have any known health conditions. The headaches usually happen in the afternoon and go away after a few hours. What could be causing this?",sympton_query
"I'm a 40-year-old woman, and I've noticed a lump in my breast during a self-exam. It doesn't hurt, but it wasn't there a month ago. I don't have any known health conditions. Should I get this checked out?",sympton_query
"I'm a 60-year-old man, and I've been having trouble maintaining an erection. I'm otherwise healthy, don't smoke or drink. Could this be a sign of a health problem?",sympton_query
"I'm a 50-year-old woman, and I've been experiencing hot flashes and night sweats for a few months now. I've never had these symptoms before. What could be causing this?",sympton_query
"I've been feeling really tired and dizzy for a few weeks. I'm a 35-year-old man, and I don't smoke or drink. I've also noticed that I've been having trouble concentrating. What could be causing these symptoms?",sympton_query
"I've been noticing some blood in my urine for a few days. I'm a 45-year-old woman, and I don't have any known health conditions. It doesn't hurt when I urinate, but this has never happened to me before. Should I be worried?",sympton_query
"I'm a 55-year-old man, and I've noticed a change in the frequency of my bowel movements. I'm going more often than usual, and my stools are looser. I don't have any other symptoms. What could be causing this?",sympton_query
What are the most common symptoms of diabetes?,general-health
Can you explain how the cardiovascular system works?,general-health
What is the difference between a bacterial and viral infection?,general-health
What are the side effects of long-term use of corticosteroids?,general-health
How does the immune system fight off viruses?,general-health
What causes migraines?,general-health
Can you explain the process of digestion?,general-health
What is the role of neurotransmitters in the brain?,general-health
How does chemotherapy work to treat cancer?,general-health
What is the difference between type 1 and type 2 diabetes?,general-health
What is the body's response to an allergic reaction?,general-health
Can you tell me about the stages of sleep?,general-health
How do vaccines protect against diseases?,general-health
What are the risk factors for heart disease?,general-health
What is the difference between an MRI and a CT scan?,general-health
"What are the various forms of hepatitis, and how do they differ?",general-health
What are the primary functions of the liver?,general-health
How does anesthesia work?,general-health
What are the symptoms of a stroke?,general-health
Can you explain the genetics of color blindness?,general-health
